known_adduct;fraghub_default;massdiff;ionmode
M+K+CH3OCa;[M+K+CH3OCa]+;108.936314;positive
M+Li;[M+Li]+;6.941;positive
M+Na;[M+Na]+;22.989221;positive
M+Na+K;[M+Na+K]2+;61.952379;positive
M+NH4;[M+NH4]+;18.0343;positive
M+OH+Ca;[M+OH+Ca]+;56.964817;positive
M-3H+Ca+Ca;[M-3H+Ca+Ca]+;76.901158;positive
M-3H2O+H;[M-3H2O+H]+;-54.0316;positive
M-C3H8O+H;[M-C3H8O+H]+;-74.0368;positive
M-C6H10O5+H;[M-C6H10O5+H]+;-162.0528;positive
M-H+Cl_37Cl1;[M-H+Cl]2-_37Cl1;35.959175;positive
M-H2O;[M-H2O]+;-18.0111;positive
